image_id,label_idx,label_name,pred_idx,pred_name,method,insertion_auc,deletion_auc,faithfulness
ADI-TCGA-CDAKCGRC.tif,0,ADI,0,ADI,attention_rollout,0.7207016764220316,0.4047553192760097,0.31594635714602193
ADI-TCGA-KIMGQMMV.tif,0,ADI,0,ADI,attention_rollout,0.9593690442480147,0.10533559306524695,0.8540334511827677
ADI-TCGA-DMARMGYG.tif,0,ADI,0,ADI,attention_rollout,0.7662083022482692,0.6238697507150935,0.14233855153317565
ADI-TCGA-IINMMNWI.tif,0,ADI,0,ADI,attention_rollout,0.8312377821095287,0.4771406668762211,0.3540971152333076
ADI-TCGA-EDSHLVGP.tif,0,ADI,0,ADI,attention_rollout,0.45482935389853085,0.3172612053644844,0.13756814853404647
ADI-TCGA-GKLWYTMF.tif,0,ADI,0,ADI,attention_rollout,0.8938054273644229,0.4923244021460414,0.4014810252183815
ADI-TCGA-HWPKGLLD.tif,0,ADI,0,ADI,attention_rollout,0.9066242953352047,0.726794079602696,0.17983021573250868
ADI-TCGA-GPCDEESK.tif,0,ADI,0,ADI,attention_rollout,0.8053485744062345,0.7037786369037349,0.10156993750249965
ADI-TCGA-WKESVTRS.tif,0,ADI,0,ADI,attention_rollout,0.7189648218679942,0.6451136401062831,0.07385118176171102
ADI-TCGA-KGWISITI.tif,0,ADI,0,ADI,attention_rollout,0.8663207774725743,0.4668833753326908,0.3994374021398835
ADI-TCGA-FGDYWLNA.tif,0,ADI,0,ADI,attention_rollout,0.8531543216959108,0.5323920507845469,0.3207622709113639
ADI-TCGA-CQLFLFQF.tif,0,ADI,0,ADI,attention_rollout,0.9323218720199656,0.5307867595227436,0.40153511249722207
ADI-TCGA-ALLCGEAG.tif,0,ADI,0,ADI,attention_rollout,0.688363044083817,0.30991934044170194,0.37844370364211505
ADI-TCGA-VCATHNMW.tif,0,ADI,0,ADI,attention_rollout,0.9107684857916319,0.3847231729957275,0.5260453127959044
ADI-TCGA-SPVPYAHD.tif,0,ADI,0,ADI,attention_rollout,0.914519979293982,0.5343293587793596,0.3801906205146224
ADI-TCGA-QKGCVNPI.tif,0,ADI,0,ADI,attention_rollout,0.8983121547114569,0.37268062052782625,0.5256315341836306
ADI-TCGA-RRFVVHVV.tif,0,ADI,0,ADI,attention_rollout,0.5542973032797455,0.3957711505785119,0.15852615270123355
ADI-TCGA-HSYWIFQE.tif,0,ADI,0,ADI,attention_rollout,0.9261532538291066,0.6805737988324836,0.24557945499662304
